captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,4.5,-111,-115,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,4.5,+108,-138,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,5.5,-102,-124,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,4.5,-102,-125,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,5.5,+106,-135,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,4.5,-159,+124,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Andrew Painter,PHI,3.5,+108,-138,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hunter Dobbins,STL,3.5,+112,-143,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Reid Detmers,LAA,6.5,-150,+117,34500284,2026-08-11T01:38:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,MacKenzie Gore,TEX,6.5,-106,-120,34500284,2026-08-11T01:38:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Freddy Peralta,TB,4.5,-131,+103,34500286,2026-08-11T01:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jacob Lopez,OAK,4.5,+110,-141,34500286,2026-08-11T01:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Michael Soroka,ARI,4.5,+107,-136,34500285,2026-08-11T01:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Gabriel Hughes,COL,3.5,-126,-101,34500285,2026-08-11T01:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Logan Henderson,MIL,5.5,+112,-143,34500287,2026-08-11T01:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Casey Mize,SD,4.5,-149,+117,34500287,2026-08-11T01:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hayden Wesneski,HOU,3.5,-171,+134,34500288,2026-08-11T01:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Blade Tidwell,SF,3.5,-123,-104,34500288,2026-08-11T01:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Tarik Skubal,LAD,7.5,-122,-104,34500289,2026-08-11T02:10:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Noah Cameron,KC,4.5,-148,+116,34500289,2026-08-11T02:10:00.0000000Z
