date,pitcher_name,team,line,over_odds,under_odds,event_id,event_name,start_time_utc
2026-08-04,Grayson Rodriguez,LAA,5.5,+125,-160,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,7.5,-125,-102,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,4.5,-150,+117,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,Brady Singer,CIN,4.5,-128,+101,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,Joey Cantillo,CLE,5.5,-149,+117,34475009,NY Mets @ CLE Guardians,2026-08-04T22:40:00.0000000Z
2026-08-04,Sean Manaea,NYM,4.5,-129,+102,34475009,NY Mets @ CLE Guardians,2026-08-04T22:40:00.0000000Z
2026-08-04,Ryan Weathers,NYY,5.5,-117,-109,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,4.5,+134,-171,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,5.5,-125,-102,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,4.5,+105,-134,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Grant Holmes,ATL,4.5,-110,-116,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Ryan Gusto,MIA,3.5,-118,-108,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Logan Henderson,MIL,6.5,-103,-123,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,5.5,-121,-106,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,5.5,-127,-101,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Randy Dobnak,KC,2.5,-130,+102,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Tarik Skubal,LAD,7.5,+115,-146,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Javier Assad,CHC,3.5,+105,-133,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,6.5,-120,-106,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,4.5,+124,-159,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Trey Yesavage,TOR,5.5,-105,-122,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,3.5,-160,+125,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Freddy Peralta,TB,5.5,+111,-142,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Gabriel Hughes,COL,3.5,+117,-150,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Eduardo Rodriguez,ARI,3.5,-165,+129,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Randy Vasquez,SD,2.5,+113,-144,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Troy Melton,DET,5.5,+111,-142,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
2026-08-04,Emerson Hancock,SEA,4.5,-165,+129,34475026,DET Tigers @ SEA Mariners,2026-08-05T01:40:00.0000000Z
