date,pitcher_name,team,milestone,odds,event_id,event_name,start_time_utc
2026-08-04,Grayson Rodriguez,LAA,3,-1180,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Grayson Rodriguez,LAA,4,-395,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Grayson Rodriguez,LAA,5,-171,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Grayson Rodriguez,LAA,6,+126,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Grayson Rodriguez,LAA,7,+262,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Grayson Rodriguez,LAA,8,+552,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Grayson Rodriguez,LAA,9,+1160,34475007,LA Angels @ BAL Orioles,2026-08-04T22:35:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,4,-3400,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,5,-1100,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,6,-492,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,7,-236,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,8,-126,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,9,+144,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,10,+261,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,11,+472,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,12,+860,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,Jesus Luzardo,PHI,13,+1540,34475010,WAS Nationals @ PHI Phillies,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,3,-950,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,4,-339,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,5,-150,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,6,+138,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,7,+277,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,8,+563,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,J.T. Ginn,OAK,9,+1100,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
2026-08-04,Brady Singer,CIN,3,-840,34475008,Athletics @ CIN Reds,2026-08-04T22:40:00.0000000Z
