date,policy,game_pk,pitcher_id,pitcher_name,side,line,odds,stake_units,result,pl_units,logged_at
2026-08-24,gates,824557,664353,Jose Urquidy,UNDER,14.5,111,2.0,WIN,2.22,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_capped,824557,664353,Jose Urquidy,UNDER,14.5,111,2.0,WIN,2.22,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_capped,823828,624133,Ranger Suarez,UNDER,17.5,-120,2.0,WIN,1.67,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_capped,823097,554430,Zack Wheeler,UNDER,17.5,132,2.0,WIN,2.64,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_capped,822695,676917,Cade Cavalli,UNDER,17.5,149,2.0,LOSS,-2.0,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_capped,824235,664285,Framber Valdez,UNDER,18.5,-175,2.0,WIN,1.14,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_uncapped,824235,664285,Framber Valdez,UNDER,18.5,-175,6.13,WIN,3.5,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_uncapped,823828,624133,Ranger Suarez,UNDER,17.5,-120,6.9,WIN,5.75,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_uncapped,822695,676917,Cade Cavalli,UNDER,17.5,149,4.55,LOSS,-4.55,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_uncapped,824557,664353,Jose Urquidy,UNDER,14.5,111,8.44,WIN,9.37,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_uncapped,823260,677952,Braxton Ashcraft,UNDER,17.5,107,2.83,LOSS,-2.83,2026-08-25T21:41:08.788942+00:00
2026-08-24,gold_uncapped,823097,554430,Zack Wheeler,UNDER,17.5,132,4.92,WIN,6.49,2026-08-25T21:41:08.788942+00:00
2026-08-25,gold_capped,824881,693821,Bryce Elder,OVER,15.5,-108,2.0,WIN,1.85,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_capped,824962,695611,Gage Jump,OVER,15.5,108,2.0,WIN,2.16,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_capped,823989,668909,Gavin Williams,UNDER,18.5,-183,2.0,WIN,1.09,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_capped,823505,701542,Will Warren,OVER,15.5,117,1.0,LOSS,-1.0,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_capped,823505,814490,Ethan Pecko,OVER,14.5,-125,0.5,LOSS,-0.5,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_capped,824233,695549,Jackson Jobe,UNDER,15.5,-121,0.5,WIN,0.41,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_capped,823016,605135,Chris Bassitt,UNDER,16.5,-136,0.5,LOSS,-0.5,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_capped,822773,607625,Seth Lugo,UNDER,17.5,114,0.5,WIN,0.57,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,824233,695549,Jackson Jobe,UNDER,15.5,-121,3.25,WIN,2.69,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,823505,701542,Will Warren,OVER,15.5,117,3.98,LOSS,-3.98,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,823505,814490,Ethan Pecko,OVER,14.5,-125,3.87,LOSS,-3.87,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,822773,607625,Seth Lugo,UNDER,17.5,114,2.72,WIN,3.1,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,824881,693821,Bryce Elder,OVER,15.5,-108,6.12,WIN,5.67,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,824881,607192,Tyler Glasnow,UNDER,15.5,-133,2.68,WIN,2.02,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,823016,605135,Chris Bassitt,UNDER,16.5,-136,3.2,LOSS,-3.2,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,823989,668909,Gavin Williams,UNDER,18.5,-183,6.04,WIN,3.3,2026-08-26T05:07:35.978070+00:00
2026-08-25,gold_uncapped,824962,695611,Gage Jump,OVER,15.5,108,5.45,WIN,5.89,2026-08-26T05:07:35.978070+00:00
