date,game_pk,pitcher_name,pitcher_id,pitcher_team,opponent_team,is_home,venue,line,pick_side,pick_strength,pick_label,model_prob_over,model_prob_under,market_over_odds,market_under_odds,opened_over_odds,opened_under_odds,closing_over_odds,closing_under_odds,clv_pct,no_vig_fair_prob,edge_pct,units_risked,bet_placed,graded_result,actual_strikeouts,profit_loss_units,created_at,updated_at,lineup_source,odds_source,market,graded_source,notes
2026-08-04,823756,Logan Henderson,701656,MIL,PIT,Y,American Family Field,6.5,UNDER,STRONG,UNDER 6.5 (STRONG),0.2614,0.7386,-108,-118,-108,-118,,,,0.4896,0.2282,2.00,Y,LOSS,8,-2.0,2026-08-04T20:29:58.399180+00:00,2026-08-05T04:15:01.634228+00:00,projected,,,,
2026-08-04,823517,Hunter Dobbins,690928,STL,NYY,N,Yankee Stadium,4.5,OVER,STRONG,OVER 4.5 (STRONG),0.6321,0.3679,+129,-165,+129,-165,,,,0.4122,0.2199,2.00,Y,LOSS,4,-2.0,2026-08-04T20:29:58.399180+00:00,2026-08-05T04:15:02.262012+00:00,confirmed,,,,
2026-08-04,824484,J.T. Ginn,669372,ATH,CIN,N,Great American Ball Park,4.5,OVER,STRONG,OVER 4.5 (STRONG),0.7842,0.2158,-151,+118,-151,+118,,,,0.5674,0.2168,1.00,Y,WIN,5,0.6623,2026-08-04T20:29:58.399180+00:00,2026-08-05T04:15:02.867897+00:00,confirmed,,,,
2026-08-04,824484,J.T. Ginn,669372,ATH,CIN,N,Great American Ball Park,6+,OVER,STRONG,OVER 6+ (STRONG),0.6371,0.3629,139,,139,,,,,0.6371,0.2187,1.00,Y,LOSS,5,-1.0,2026-08-04T20:29:58.399180+00:00,2026-08-05T04:15:03.269169+00:00,confirmed,,,,ladder
2026-08-05,823106,Drew Anderson,623454,DET,SEA,N,T-Mobile Park,5+,OVER,STRONG,OVER 5+ (STRONG),0.6892,0.3108,+292,,+292,,+262,,0.0203,0.2453,0.2219,0.50,Y,LOSS,0,-0.5,2026-08-05T17:47:30.882327+00:00,2026-08-06T07:00:04.833768+00:00,projected,,,,ladder
2026-08-05,823106,Drew Anderson,623454,DET,SEA,N,T-Mobile Park,2.5,OVER,STRONG,OVER 2.5 (STRONG),0.9408,0.0592,-173,+136,-173,+136,-179,+140,0.0070,0.5993,0.1708,2.00,Y,LOSS,0,-2.0,2026-08-05T17:47:30.882327+00:00,2026-08-06T07:00:05.090654+00:00,projected,,,,
2026-08-05,824806,Reid Detmers,672282,LAA,BAL,N,Oriole Park at Camden Yards,7.5,UNDER,LEAN,UNDER 7.5 (LEAN),0.2432,0.7568,+119,-151,+119,-151,+123,-157,0.0082,0.4315,0.0941,2.00,Y,WIN,5,1.3245,2026-08-05T17:47:30.882327+00:00,2026-08-06T02:11:51.645903+00:00,projected,,,,
2026-08-05,824728,Sean Burke,680732,CWS,BOS,N,Fenway Park,6.5,OVER,LEAN,OVER 6.5 (LEAN),0.6216,0.3784,+107,-137,+107,-137,+116,-148,-0.0184,0.4553,0.0832,1.00,Y,LOSS,4,-1.0,2026-08-05T17:47:30.882327+00:00,2026-08-06T02:11:52.069143+00:00,projected,,,,
2026-08-05,823106,Drew Anderson,623454,DET,SEA,N,T-Mobile Park,4+,OVER,STRONG,OVER 4+ (STRONG),0.8147,0.1853,+134,,+134,,+125,,0.0164,0.4109,0.2019,1.00,Y,LOSS,0,-1.0,2026-08-05T22:13:01.498357+00:00,2026-08-06T07:00:05.342150+00:00,projected,,,,ladder
2026-08-07,824727,Payton Tolle,801139,BOS,ATH,Y,Fenway Park,6.5,UNDER,LEAN,UNDER 6.5 (LEAN),0.3912,0.6088,-140,+110,-140,+110,-145,+113,-0.0071,0.5506,0.0797,2.00,Y,LOSS,14,-2.0,2026-08-07T20:46:18.338523+00:00,2026-08-08T07:01:05.209846+00:00,confirmed,live,,game_final,
